24.333333333333332,234,24
25,192,42
24.875,75,80
25,204,54
25,67,94
25,220,60
24.833333333333332,223,59
24.666666666666668,213,17
25,252,60
24.842105263157894,107,69
24.94736842105263,111,127
23.761904761904763,96,109
25,165,24
24.9,82,128
24.88888888888889,207,59
14.285714285714286,209,56
24.5,255,62
24.956521739130434,72,107
25,160,21
24.833333333333332,224,48
25,214,60
23.214285714285715,118,112
25,165,22
24.90909090909091,196,19
24.9,191,51
25,215,45
24.958333333333332,79,80
24.5,223,42
null,252,59
25,74,88
25,188,24
25,238,51
24.727272727272727,176,21
24.875,167,8
24.8,106,118
25,217,54
24.11111111111111,120,69
25,201,62
23.68421052631579,92,89
24.818181818181817,70,106
25,177,17
24.928571428571427,179,16
25,123,95
24.823529411764707,120,114
25,210,17
24.952380952380953,157,15
null,250,58
25,246,11
23.133333333333333,181,16
21.428571428571427,213,19
25,247,52
22.125,207,19
25,252,55
24.928571428571427,121,112
24.5,234,47
null,256,44
24,247,21
24.95,108,84
24.833333333333332,226,46
23.90909090909091,200,9
25,103,108
25,198,59
24.833333333333332,91,90
20.363636363636363,76,106
20,236,50
25,224,10
24.875,187,19
24.90909090909091,92,85
25,74,74
25,236,46
25,213,17
null,256,48
20.833333333333332,211,43
24.952380952380953,81,79
25,237,9
24.95,95,96
25,204,57
25,205,57
25,210,59
24.958333333333332,69,74
25,220,51
25,167,16
23,126,132
25,207,43
24.666666666666668,204,45
21.5,71,131
25,75,101
24.8,242,52
24.866666666666667,110,130
24.9,81,123
24.727272727272727,174,19
24.75,210,57
24.76923076923077,165,20
24.636363636363637,97,72
23.529411764705884,119,81
22.833333333333332,172,9
25,196,43
null,256,52
25,198,56
25,232,55
25,206,50
25,68,89
24.833333333333332,224,10
23.708333333333332,63,93
24.818181818181817,71,92
25,196,24
24.958333333333332,61,86
25,182,18
24.857142857142858,190,15
24.954545454545453,90,115
24.88888888888889,112,110
25,245,17
21.1,80,131
25,216,45
25,209,9
24.75,229,47
24.857142857142858,181,12
24.333333333333332,245,48
24.5,229,51
24.875,212,16
null,247,45
24.9375,189,14
24.85,127,75
22.22222222222222,212,17
25,232,13
19.23076923076923,196,43
